[2026-06-02 21:16:12,426: INFO: networksecurity: exception: this is a test]
[2026-06-02 21:17:46,346: INFO: networksecurity: exception: this is a test]
[2026-06-02 21:17:46,346: ERROR: networksecurity: exception: Error occured in python script name [D:\Projects\RAG_Systems\NetworkSecurity\networksecurity\exceptions\exception.py] line number [27] error message [division by zero]]
[2026-06-05 18:41:53,237: INFO: networksecurity: 494891127: initiate the data ingestion]
[2026-06-05 18:42:39,569: INFO: networksecurity: 3470900752: initiate the data ingestion]
[2026-06-05 18:56:01,423: INFO: networksecurity: 3850222068: Initiating the data ingestion process]
[2026-06-05 18:56:01,426: INFO: networksecurity: data_ingestion: Initiating Data Ingestion component]
[2026-06-05 18:56:01,427: INFO: networksecurity: data_ingestion: Extracting data from SQLite database]
[2026-06-05 18:56:01,931: INFO: networksecurity: data_ingestion: Data shape from DB: (10000, 50)]
[2026-06-05 18:56:01,931: INFO: networksecurity: data_ingestion: Saving raw data to: artifacts\06_05_2026_18_56_01\data_ingestion\feature_store\Phishing_Legitimate_full.csv]
[2026-06-05 18:56:02,232: INFO: networksecurity: data_ingestion: performed train test split on dataframe]
[2026-06-05 18:56:02,232: INFO: networksecurity: data_ingestion: Exporting train and test file path]
[2026-06-05 23:18:44,729: INFO: networksecurity: 3850222068: Initiating the data ingestion process]
[2026-06-05 23:18:44,729: INFO: networksecurity: data_ingestion: Initiating Data Ingestion component]
[2026-06-05 23:18:44,733: INFO: networksecurity: data_ingestion: Extracting data from SQLite database]
[2026-06-05 23:18:45,276: INFO: networksecurity: data_ingestion: Data shape from DB: (10000, 50)]
[2026-06-05 23:18:45,276: INFO: networksecurity: data_ingestion: Saving raw data to: artifacts\06_05_2026_23_18_44\data_ingestion\feature_store\Phishing_Legitimate_full.csv]
[2026-06-05 23:18:45,501: INFO: networksecurity: data_ingestion: performed train test split on dataframe]
[2026-06-05 23:18:45,503: INFO: networksecurity: data_ingestion: Exporting train and test file path]
[2026-06-06 10:15:44,931: INFO: networksecurity: 3850222068: Initiating the data ingestion process]
[2026-06-06 10:15:44,971: INFO: networksecurity: data_ingestion: Initiating Data Ingestion component]
[2026-06-06 10:15:44,983: INFO: networksecurity: data_ingestion: Extracting data from SQLite database]
[2026-06-06 10:15:46,274: INFO: networksecurity: data_ingestion: Data shape from DB: (10000, 50)]
[2026-06-06 10:15:46,294: INFO: networksecurity: data_ingestion: Saving raw data to: artifacts\06_06_2026_10_15_44\data_ingestion\feature_store\Phishing_Legitimate_full.csv]
[2026-06-06 10:15:46,884: INFO: networksecurity: data_ingestion: performed train test split on dataframe]
[2026-06-06 10:15:46,887: INFO: networksecurity: data_ingestion: Exporting train and test file path]
[2026-06-06 10:20:10,636: INFO: networksecurity: 3850222068: Initiating the data ingestion process]
[2026-06-06 10:20:10,638: INFO: networksecurity: data_ingestion: Initiating Data Ingestion component]
[2026-06-06 10:20:10,639: INFO: networksecurity: data_ingestion: Extracting data from SQLite database]
[2026-06-06 10:20:11,022: INFO: networksecurity: data_ingestion: Data shape from DB: (10000, 50)]
[2026-06-06 10:20:11,027: INFO: networksecurity: data_ingestion: Saving raw data to: artifacts\06_06_2026_10_20_10\data_ingestion\feature_store\Phishing_Legitimate_full.csv]
[2026-06-06 10:20:11,193: INFO: networksecurity: data_ingestion: performed train test split on dataframe]
[2026-06-06 10:20:11,213: INFO: networksecurity: data_ingestion: Exporting train and test file path]
